,applicant_id,Primary_applicant_age_in_years,Gender,Marital_status,Number_of_dependents,Housing,Years_at_current_residence,Employment_status,Has_been_employed_for_at_least,Has_been_employed_for_at_most,Foreign_worker,Savings_account_balance,loan_application_id,Months_loan_taken_for,Purpose,Principal_loan_amount,EMI_rate_in_percentage_of_disposable_income,Property,Has_coapplicant,Has_guarantor,Other_EMI_plans,Number_of_existing_loans_at_this_bank,Loan_history,high_risk_applicant
227,1468094,53,male,single,1,own,4,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,d68e11ac-edad-11ea-a0d7-54fc6ee145ce,12,FF&E,7865000,4,car or other,0,0,bank,1,existing loans paid back duly till now,1
228,1857654,22,male,single,1,own,2,skilled employee / official,4 years,7 years,1,Low,d68e122e-edad-11ea-b9e8-0a3108df5de0,9,electronic equipment,1478000,4,car or other,0,0,bank,1,existing loans paid back duly till now,1
229,1785759,22,male,single,1,own,1,skilled employee / official,0 year,1 year,1,Low,d68e12ba-edad-11ea-9549-0981b4b9a301,24,FF&E,3149000,4,car or other,0,0,bank,1,existing loans paid back duly till now,0
230,1596358,26,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Low,d68e1346-edad-11ea-a567-40073b2c65ce,36,electronic equipment,4210000,4,car or other,0,0,bank,1,existing loans paid back duly till now,1
231,1515190,51,male,single,1,own,4,unskilled - resident,7 years,4 years,1,High,d68e13c8-edad-11ea-9247-02f78e6677c0,9,new vehicle,2507000,2,car or other,0,0,bank,1,existing loans paid back duly till now,0
232,1720597,35,male,single,1,own,1,skilled employee / official,4 years,7 years,1,Medium,d68e1454-edad-11ea-85fa-2f978cfb56de,12,electronic equipment,2141000,3,car or other,0,0,bank,1,existing loans paid back duly till now,0
233,1487170,25,male,divorced,1,own,2,unskilled - resident,1 year,4 years,1,Low,d68e14d6-edad-11ea-a31c-23194c8d5577,18,electronic equipment,866000,4,real estate,0,1,bank,1,existing loans paid back duly till now,0
234,1570458,42,male,single,2,own,1,unskilled - resident,4 years,7 years,1,Low,d68e156c-edad-11ea-a877-347e6a1e2ea7,4,electronic equipment,1544000,2,real estate,0,0,bank,3,critical/pending loans at other banks,0
235,1216325,30,male,single,2,own,2,management / self-employed / highly qualified employee / officer,1 year,0 year,1,Low,d68e15f8-edad-11ea-876e-3b88c3d951ee,24,electronic equipment,1823000,4,car or other,0,0,stores,1,existing loans paid back duly till now,1
236,1810247,23,male,single,1,own,2,unemployed / unskilled - non-resident,1 year,0 year,1,Low,d68e1684-edad-11ea-9009-0089176fd6e6,6,new vehicle,14555000,1,building society savings agreement/life insurance,0,0,bank,1,existing loans paid back duly till now,1
237,1303121,61,male,divorced,1,rent,2,unskilled - resident,7 years,4 years,1,Medium,d68e1706-edad-11ea-96c6-333508d5ad1f,21,business,2767000,4,car or other,0,0,bank,2,existing loans paid back duly till now,1
238,1755306,35,female,divorced,1,own,2,skilled employee / official,1 year,4 years,1,Low,d68e1792-edad-11ea-9782-57ea288367ef,12,electronic equipment,1291000,4,building society savings agreement/life insurance,0,0,bank,2,critical/pending loans at other banks,0
239,1429938,39,male,single,2,own,3,skilled employee / official,7 years,4 years,1,Low,d68e1814-edad-11ea-bfae-20144406b85f,30,electronic equipment,2522000,1,building society savings agreement/life insurance,0,1,bank,1,existing loans paid back duly till now,0
240,1255291,29,female,divorced,1,own,2,skilled employee / official,7 years,4 years,1,Low,d68e18a0-edad-11ea-8960-490b274c8527,24,new vehicle,915000,4,car or other,0,0,bank,1,existing loans paid back duly till now,1
241,1766084,51,male,single,2,own,2,skilled employee / official,4 years,7 years,1,Low,d68e192c-edad-11ea-900f-2f8360289e46,6,electronic equipment,1595000,3,building society savings agreement/life insurance,0,0,bank,1,existing loans paid back duly till now,0
242,1598979,24,male,single,2,own,4,skilled employee / official,7 years,4 years,1,Low,d68e19ae-edad-11ea-ba93-13f365df0d46,48,used vehicle,4605000,3,car or other,0,0,bank,2,no loans taken/all loans paid back duly,1
243,1700009,27,female,divorced,1,own,2,skilled employee / official,1 year,4 years,1,Low,d68e1a3a-edad-11ea-b615-5860f8ba15b2,12,business,1185000,3,real estate,0,0,bank,2,critical/pending loans at other banks,0
244,1591456,35,female,divorced,2,own,3,unskilled - resident,1 year,4 years,1,High,d68e1ac6-edad-11ea-8f68-351b995233b8,12,career development,3447000,4,real estate,0,0,bank,1,all loans at this bank paid back duly,0
245,1444099,25,male,single,1,own,1,skilled employee / official,4 years,7 years,1,Low,d68e1b48-edad-11ea-be10-3935548fdc15,24,business,1258000,4,real estate,0,0,bank,1,existing loans paid back duly till now,0
246,1627604,52,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,d68e1bd4-edad-11ea-b4b5-00cacbe309d1,12,electronic equipment,717000,4,real estate,0,0,bank,3,critical/pending loans at other banks,0
247,1533746,35,male,single,1,rent,1,skilled employee / official,1 year,4 years,0,Medium,d68e1c56-edad-11ea-b2a7-191919502787,6,new vehicle,1204000,4,car or other,0,0,bank,1,no loans taken/all loans paid back duly,0
248,1659113,26,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Low,d68e1ce2-edad-11ea-a051-1d0bb5078fe9,24,FF&E,1925000,2,real estate,0,0,bank,1,existing loans paid back duly till now,0
249,1276035,22,female,divorced,1,rent,4,skilled employee / official,1 year,0 year,1,Low,d68e1d64-edad-11ea-bbb3-547a3436cc52,18,electronic equipment,433000,3,real estate,1,0,bank,1,existing loans paid back duly till now,1
250,1812017,39,female,divorced,1,own,4,unskilled - resident,4 years,7 years,1,High,d68e1df0-edad-11ea-a91d-3fe8cb8081c7,6,new vehicle,666000,3,real estate,0,0,bank,2,critical/pending loans at other banks,0
251,1540012,46,female,divorced,1,own,2,unskilled - resident,1 year,4 years,1,Low,d68e1e7c-edad-11ea-a2c3-3e44efa427a4,12,FF&E,2251000,1,car or other,0,0,bank,1,existing loans paid back duly till now,0
252,1582743,24,female,divorced,1,own,2,skilled employee / official,1 year,4 years,1,Low,d68e1efe-edad-11ea-94e0-1be6e48a3384,30,new vehicle,2150000,4,car or other,0,1,bank,1,existing loans paid back duly till now,1
253,1891614,35,male,single,1,own,3,skilled employee / official,1 year,4 years,1,Medium,d68e1f8a-edad-11ea-ab60-53cc53b08fd4,24,FF&E,4151000,2,building society savings agreement/life insurance,0,0,bank,2,delay in paying off loans in the past,0
254,1685016,24,male,single,1,own,1,skilled employee / official,4 years,7 years,1,Low,d68e200c-edad-11ea-bcbb-1f78cc3a5acb,9,FF&E,2030000,2,car or other,0,0,bank,1,existing loans paid back duly till now,0
255,1656238,27,male,single,1,own,1,unskilled - resident,1 year,4 years,1,Low,d68e2098-edad-11ea-9e1e-41d5d9e7b728,60,electronic equipment,7418000,1,real estate,0,0,bank,1,delay in paying off loans in the past,0
256,1444375,35,male,single,1,own,2,unskilled - resident,1 year,4 years,1,Low,d68e211a-edad-11ea-9895-13c4181fc5f7,24,electronic equipment,2684000,4,real estate,0,0,bank,2,critical/pending loans at other banks,0
257,1148952,29,male,divorced,1,own,1,skilled employee / official,1 year,4 years,1,Low,d68e21a6-edad-11ea-99c3-152c796ded8d,12,electronic equipment,2149000,4,car or other,0,0,bank,1,all loans at this bank paid back duly,1
258,1397248,23,female,divorced,1,own,4,skilled employee / official,0 year,1 year,1,Medium,d68e2228-edad-11ea-b7aa-4eab7872da17,15,used vehicle,3812000,1,car or other,0,0,bank,1,existing loans paid back duly till now,0
259,1513777,57,female,divorced,1,own,4,unskilled - resident,1 year,0 year,1,Medium,d68e22b4-edad-11ea-85af-2566a56d91f3,11,electronic equipment,1154000,4,real estate,0,0,bank,3,critical/pending loans at other banks,0
260,1352424,27,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Low,d68e2340-edad-11ea-a8bb-50e0c15ea523,12,FF&E,1657000,2,real estate,0,0,bank,1,existing loans paid back duly till now,0
261,1585697,55,female,divorced,1,own,4,skilled employee / official,7 years,4 years,1,Low,d68e23cc-edad-11ea-92dd-3f3f75c69901,24,electronic equipment,1603000,4,car or other,0,0,bank,1,existing loans paid back duly till now,0
262,1552427,36,male,single,1,own,4,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,d68e244e-edad-11ea-99f0-42b1e91f9fe4,18,new vehicle,5302000,2,car or other,0,0,bank,3,critical/pending loans at other banks,0
263,1194650,57,female,divorced,1,own,4,unskilled - resident,7 years,4 years,1,Low,d68e24da-edad-11ea-be4e-45c4e36808ac,12,education,2748000,2,car or other,0,0,bank,3,critical/pending loans at other banks,0
264,1516910,32,male,single,2,own,4,unskilled - resident,7 years,4 years,0,Low,d68e255c-edad-11ea-917c-517b775255a7,10,new vehicle,1231000,3,real estate,0,0,bank,2,critical/pending loans at other banks,0
265,1847834,37,male,single,2,own,3,skilled employee / official,7 years,4 years,1,Low,d68e25e8-edad-11ea-80bb-36d3df6975b9,15,electronic equipment,802000,4,car or other,0,0,bank,1,existing loans paid back duly till now,1
266,1647128,36,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,d68e266a-edad-11ea-99e3-29272d55e400,36,business,6304000,4,real estate,0,0,bank,2,critical/pending loans at other banks,0
267,1232944,38,female,divorced,1,own,3,skilled employee / official,0 year,1 year,1,Low,d68e26f6-edad-11ea-bed5-4a97cc530028,24,electronic equipment,1533000,4,car or other,0,0,stores,1,existing loans paid back duly till now,0
268,1310758,45,male,divorced,1,own,4,management / self-employed / highly qualified employee / officer,7 years,4 years,0,Low,d68e2782-edad-11ea-88c8-2293147a4e28,14,new vehicle,8978000,1,building society savings agreement/life insurance,0,0,bank,1,existing loans paid back duly till now,1
269,1650945,25,male,single,1,own,2,skilled employee / official,7 years,4 years,1,Low,d68e280e-edad-11ea-94e1-288ca5e59666,24,electronic equipment,999000,4,car or other,0,0,bank,2,existing loans paid back duly till now,0
270,1193039,32,male,single,1,own,3,skilled employee / official,4 years,7 years,0,Low,d68e2890-edad-11ea-bbb4-4ba1c6c68ac8,18,new vehicle,2662000,4,building society savings agreement/life insurance,0,0,bank,1,existing loans paid back duly till now,0
271,1753115,37,female,divorced,1,rent,4,skilled employee / official,4 years,7 years,1,High,d68e291c-edad-11ea-8209-57673362a353,12,FF&E,1402000,3,car or other,0,0,bank,1,critical/pending loans at other banks,0
272,1799149,36,male,single,1,own,4,management / self-employed / highly qualified employee / officer,1 year,0 year,1,Low,d68e29a8-edad-11ea-9d7e-30c40388002a,48,new vehicle,12169000,4,car or other,1,0,bank,1,all loans at this bank paid back duly,0
273,1152260,28,male,single,1,own,4,skilled employee / official,4 years,7 years,1,Low,d68e2a2a-edad-11ea-ada6-2781c5a56266,48,electronic equipment,3060000,4,real estate,0,0,bank,2,existing loans paid back duly till now,1
274,1522384,34,male,divorced,1,own,1,unskilled - resident,0 year,1 year,1,Low,d68e2ab6-edad-11ea-aee5-0f35292a4c8b,30,repair costs,11998000,1,car or other,0,0,bank,1,existing loans paid back duly till now,1
275,1826417,32,male,single,2,own,2,skilled employee / official,1 year,4 years,1,Low,d68e2b42-edad-11ea-a975-3b4dbdddddb6,9,electronic equipment,2697000,1,real estate,0,0,bank,1,existing loans paid back duly till now,0
276,1860196,26,female,divorced,1,own,2,skilled employee / official,1 year,4 years,1,Low,d68e2bc4-edad-11ea-8b41-20866d5b3127,18,electronic equipment,2404000,2,car or other,0,0,bank,2,critical/pending loans at other banks,0
277,1832835,49,male,divorced,1,own,4,unskilled - resident,7 years,4 years,1,Low,d68e2c50-edad-11ea-9b2e-37f4f1543f2e,12,FF&E,1262000,2,building society savings agreement/life insurance,0,0,bank,1,existing loans paid back duly till now,0
278,1268091,32,female,divorced,1,own,4,skilled employee / official,0 year,1 year,1,Low,d68e2cdc-edad-11ea-b541-0b6ee74deb74,6,FF&E,4611000,1,building society savings agreement/life insurance,0,0,bank,1,existing loans paid back duly till now,1
279,1755105,29,male,single,1,rent,4,management / self-employed / highly qualified employee / officer,1 year,4 years,1,Medium,d68e2d68-edad-11ea-99d6-36938c64c002,24,electronic equipment,1901000,4,car or other,0,0,bank,1,existing loans paid back duly till now,0
280,1769868,23,male,single,1,rent,4,skilled employee / official,7 years,4 years,1,High,d68e2dea-edad-11ea-8c8b-52156d83aedb,15,used vehicle,3368000,3,car or other,0,0,bank,2,critical/pending loans at other banks,0
281,1243419,50,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Low,d68e2e76-edad-11ea-80ef-0d1fa36cd6fd,12,FF&E,1574000,4,real estate,0,0,bank,1,existing loans paid back duly till now,0
282,1131444,49,male,single,1,own,4,unskilled - resident,4 years,7 years,1,Low,d68e2ef8-edad-11ea-b7f9-428333b15f7e,18,electronic equipment,1445000,4,car or other,0,0,bank,1,all loans at this bank paid back duly,0
283,1844436,63,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,d68e2f84-edad-11ea-a240-1e0945cf1819,15,FF&E,1520000,4,building society savings agreement/life insurance,0,0,bank,1,critical/pending loans at other banks,0
284,1856693,37,male,divorced,1,own,2,skilled employee / official,0 year,1 year,1,Medium,d68e3010-edad-11ea-a853-30a319c4addf,24,new vehicle,3878000,4,car or other,0,0,bank,1,critical/pending loans at other banks,0
285,1405233,35,female,divorced,1,own,1,unskilled - resident,0 year,1 year,1,Low,d68e309c-edad-11ea-854a-54c6ae45ce7d,47,new vehicle,10722000,1,real estate,0,0,bank,1,existing loans paid back duly till now,0
286,1442483,26,male,single,2,own,3,skilled employee / official,4 years,7 years,1,Low,d68e3128-edad-11ea-af8b-4401e9ad68c7,48,used vehicle,4788000,4,building society savings agreement/life insurance,0,0,bank,1,existing loans paid back duly till now,0
287,1761078,31,male,single,1,own,4,management / self-employed / highly qualified employee / officer,1 year,0 year,1,Medium,d68e31aa-edad-11ea-b7b9-0b881c038c4d,48,electronic equipment,7582000,2,car or other,0,0,bank,1,delay in paying off loans in the past,0
288,1838488,49,female,divorced,1,own,4,skilled employee / official,1 year,4 years,1,Low,d68e3236-edad-11ea-b092-3f5812819474,12,electronic equipment,1092000,4,real estate,0,1,bank,2,existing loans paid back duly till now,0
289,1379318,48,male,divorced,1,own,4,skilled employee / official,0 year,1 year,1,Low,d68e32c2-edad-11ea-8a35-405e89018877,24,electronic equipment,1024000,4,real estate,0,0,stores,1,delay in paying off loans in the past,1
290,1688183,26,male,divorced,1,own,2,skilled employee / official,1 year,4 years,0,Low,d68e334e-edad-11ea-87a3-4a4963dbf552,12,business,1076000,2,real estate,0,0,bank,1,existing loans paid back duly till now,0
291,1340983,28,male,divorced,1,rent,4,management / self-employed / highly qualified employee / officer,0 year,1 year,1,Low,d68e33d0-edad-11ea-9e51-408fea272a74,36,used vehicle,9398000,1,car or other,0,0,bank,1,existing loans paid back duly till now,1
292,1163798,44,female,divorced,2,own,4,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,d68e345c-edad-11ea-a1f9-245ec6f2aec2,24,used vehicle,6419000,2,car or other,0,0,bank,2,critical/pending loans at other banks,0
293,1225433,56,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,d68e34e8-edad-11ea-a655-04c93e4deb34,42,used vehicle,4796000,4,car or other,0,0,bank,1,critical/pending loans at other banks,0
294,1563134,46,male,divorced,2,own,2,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,d68e3574-edad-11ea-a7f9-21b1548846fd,48,business,7629000,4,car or other,0,0,bank,2,critical/pending loans at other banks,0
295,1559877,26,female,divorced,1,own,2,skilled employee / official,0 year,1 year,1,Low,d68e3600-edad-11ea-9548-25671bd96035,48,FF&E,9960000,1,car or other,0,0,bank,1,existing loans paid back duly till now,1
296,1437216,20,female,divorced,1,rent,4,skilled employee / official,0 year,1 year,1,Low,d68e368c-edad-11ea-ac6e-32841db1b677,12,used vehicle,4675000,1,car or other,0,0,bank,1,existing loans paid back duly till now,0
297,1347244,45,male,single,1,own,2,unskilled - resident,7 years,4 years,0,Low,d68e370e-edad-11ea-9d54-37c1c4c21c6c,10,new vehicle,1287000,4,building society savings agreement/life insurance,1,0,bank,1,existing loans paid back duly till now,0
298,1124063,43,male,single,1,own,4,skilled employee / official,1 year,4 years,1,Low,d68e379a-edad-11ea-945d-3f8ffb76d6ad,18,FF&E,2515000,3,real estate,0,0,bank,1,existing loans paid back duly till now,0
299,1395426,32,male,single,1,own,2,skilled employee / official,4 years,7 years,1,High,d68e3826-edad-11ea-8f9c-4a4cdfcde1b5,21,FF&E,2745000,3,car or other,0,0,bank,2,critical/pending loans at other banks,0
300,1313483,54,female,divorced,1,own,4,unemployed / unskilled - non-resident,1 year,0 year,1,Low,d68e38b2-edad-11ea-af18-4bb191a4d33f,6,new vehicle,672000,1,real estate,0,0,bank,1,existing loans paid back duly till now,0
301,1704941,42,female,divorced,1,own,1,skilled employee / official,1 year,4 years,1,Low,d68e3934-edad-11ea-b669-37a605c96500,36,electronic equipment,3804000,4,car or other,0,0,bank,1,no loans taken/all loans paid back duly,1
302,1420165,37,male,single,2,own,2,unskilled - resident,4 years,7 years,1,Low,d68e39c0-edad-11ea-adb0-36e000004ba9,24,new vehicle,1344000,4,real estate,0,0,bank,2,critical/pending loans at other banks,1
303,1600427,49,male,single,1,own,3,skilled employee / official,4 years,7 years,1,Low,d68e3a4c-edad-11ea-ba2a-544126b23f05,10,new vehicle,1038000,4,building society savings agreement/life insurance,1,0,bank,2,critical/pending loans at other banks,0
304,1722344,44,male,single,1,own,2,skilled employee / official,1 year,4 years,1,High,d68e3ad8-edad-11ea-8a0b-46fe18c95706,48,new vehicle,10127000,2,car or other,0,0,bank,1,critical/pending loans at other banks,1
305,1535647,33,male,divorced,1,own,2,skilled employee / official,1 year,4 years,1,High,d68e3b5a-edad-11ea-9f31-3e446c7e1059,6,FF&E,1543000,4,real estate,0,0,bank,1,existing loans paid back duly till now,0
306,1774831,24,female,divorced,1,rent,4,unskilled - resident,4 years,7 years,1,Low,d68e3be6-edad-11ea-b013-08362e4ac829,30,used vehicle,4811000,2,building society savings agreement/life insurance,0,0,stores,1,existing loans paid back duly till now,0
307,1385836,33,male,divorced,1,own,3,unskilled - resident,0 year,1 year,1,Medium,d68e3c72-edad-11ea-8382-011c349aff43,12,electronic equipment,727000,4,car or other,0,0,bank,1,existing loans paid back duly till now,1
308,1211897,24,female,divorced,1,own,4,skilled employee / official,1 year,4 years,1,Low,d68e3cfe-edad-11ea-a64a-43478821f6fc,8,FF&E,1237000,3,real estate,0,0,bank,1,existing loans paid back duly till now,1
309,1241781,22,male,divorced,1,rent,4,unskilled - resident,1 year,4 years,1,Low,d68e3d80-edad-11ea-b8b8-1ba33a1ae103,9,new vehicle,276000,4,real estate,0,0,bank,1,existing loans paid back duly till now,0
310,1538187,40,male,single,1,own,4,unemployed / unskilled - non-resident,1 year,0 year,1,Low,d68e3e0c-edad-11ea-833e-5502127b3f32,48,electronic equipment,5381000,3,car or other,0,0,bank,1,existing loans paid back duly till now,0
311,1770099,25,male,single,1,own,1,skilled employee / official,1 year,4 years,1,Medium,d68e3e98-edad-11ea-97bf-3dd322e8e03d,24,FF&E,5511000,4,car or other,0,0,stores,1,existing loans paid back duly till now,0
312,1246068,26,female,divorced,1,own,4,skilled employee / official,0 year,1 year,1,Low,d68e3f24-edad-11ea-91bc-5391281d85cf,24,FF&E,3749000,2,car or other,0,0,bank,1,existing loans paid back duly till now,0
313,1738925,25,male,divorced,1,own,3,unskilled - resident,4 years,7 years,1,Low,d68e3fb0-edad-11ea-93b6-258a9f8230b2,12,new vehicle,685000,2,car or other,0,0,bank,1,existing loans paid back duly till now,1
314,1546660,29,male,single,2,own,2,unskilled - resident,0 year,1 year,0,Low,d68e4032-edad-11ea-a8bc-45d3795c0cc3,4,new vehicle,1494000,1,real estate,0,0,bank,1,existing loans paid back duly till now,0
315,1363538,31,male,single,1,own,4,skilled employee / official,7 years,4 years,1,Low,d68e40be-edad-11ea-a6d0-32cc83a50753,36,FF&E,2746000,4,car or other,0,0,bank,1,all loans at this bank paid back duly,1
316,1173975,38,male,single,2,own,3,unskilled - resident,1 year,4 years,1,Low,d68e414a-edad-11ea-bff6-1cd54b9b25b1,12,FF&E,708000,2,building society savings agreement/life insurance,0,1,bank,1,existing loans paid back duly till now,0
317,1527645,48,female,divorced,1,own,4,unskilled - resident,1 year,4 years,1,Low,d68e41cc-edad-11ea-8355-09f2e9c64c6c,24,FF&E,4351000,1,building society savings agreement/life insurance,0,0,bank,1,existing loans paid back duly till now,0
318,1269451,32,male,single,1,own,2,skilled employee / official,1 year,4 years,1,Low,d68e4258-edad-11ea-b477-20add492fe93,12,education,701000,4,car or other,0,0,bank,2,critical/pending loans at other banks,0
319,1635930,27,female,divorced,1,own,4,unskilled - resident,7 years,4 years,1,Low,d68e42e4-edad-11ea-8c8d-2e48bebe38c5,15,FF&E,3643000,1,building society savings agreement/life insurance,0,0,bank,2,delay in paying off loans in the past,0
320,1443537,28,male,divorced,1,own,2,management / self-employed / highly qualified employee / officer,1 year,0 year,1,Low,d68e4366-edad-11ea-ba56-12c7aac57ec6,30,new vehicle,4249000,4,car or other,0,0,bank,2,critical/pending loans at other banks,1
321,1366526,32,male,divorced,1,own,3,skilled employee / official,0 year,1 year,1,Low,d68e43f2-edad-11ea-a1b5-2ad458b1c9b6,24,electronic equipment,1938000,4,building society savings agreement/life insurance,0,0,bank,1,existing loans paid back duly till now,1
322,1492566,34,male,single,1,own,1,management / self-employed / highly qualified employee / officer,4 years,7 years,1,Low,d68e447e-edad-11ea-b3e4-338e7aaf2af2,24,used vehicle,2910000,2,car or other,0,0,bank,1,existing loans paid back duly till now,0
323,1212992,28,male,single,1,own,2,skilled employee / official,1 year,4 years,1,High,d68e4500-edad-11ea-b57e-1595607c87df,18,FF&E,2659000,4,car or other,0,0,bank,1,existing loans paid back duly till now,0
324,1449219,36,female,divorced,1,own,3,skilled employee / official,1 year,4 years,1,Low,d68e458c-edad-11ea-ad84-480b642ff1ff,18,new vehicle,1028000,4,real estate,0,0,bank,2,critical/pending loans at other banks,0
325,1113782,39,male,single,1,own,4,unskilled - resident,4 years,7 years,0,Low,d68e4618-edad-11ea-83c2-473e6f12ced0,8,new vehicle,3398000,1,real estate,0,0,bank,2,critical/pending loans at other banks,0
326,1127014,49,male,single,1,rent,4,skilled employee / official,7 years,4 years,1,Low,d68e469a-edad-11ea-9653-1f956a5a2867,12,FF&E,5801000,2,building society savings agreement/life insurance,0,0,bank,1,critical/pending loans at other banks,0
327,1730202,34,female,divorced,2,own,3,skilled employee / official,4 years,7 years,1,High,d68e4726-edad-11ea-82c1-29197a6819fc,24,new vehicle,1525000,4,car or other,0,0,bank,1,existing loans paid back duly till now,0
328,1831874,31,male,single,1,own,2,skilled employee / official,7 years,4 years,1,Low,d68e47b2-edad-11ea-8f4a-507b0469f048,36,electronic equipment,4473000,4,car or other,0,0,bank,1,existing loans paid back duly till now,0
329,1839770,28,male,single,2,own,4,skilled employee / official,7 years,4 years,1,Low,d68e483e-edad-11ea-838e-0908b02a3c56,6,electronic equipment,1068000,4,car or other,0,0,bank,1,existing loans paid back duly till now,0
330,1397184,75,male,single,1,own,4,management / self-employed / highly qualified employee / officer,1 year,0 year,1,Low,d68e48c0-edad-11ea-99c1-50ca218d8f74,24,used vehicle,6615000,2,car or other,0,0,bank,2,critical/pending loans at other banks,0
331,1893558,30,female,divorced,1,own,2,skilled employee / official,1 year,4 years,1,Medium,d68e494c-edad-11ea-93be-3072a10dcb32,18,education,1864000,4,real estate,0,0,bank,2,critical/pending loans at other banks,1
332,1392044,24,female,divorced,1,own,2,management / self-employed / highly qualified employee / officer,0 year,1 year,1,Medium,d68e49d8-edad-11ea-92ac-03000f78c836,60,new vehicle,7408000,4,building society savings agreement/life insurance,0,0,bank,1,existing loans paid back duly till now,1
333,1658501,24,female,divorced,1,rent,4,unskilled - resident,1 year,4 years,1,Medium,d68e4a5a-edad-11ea-8c2f-1f1605c5d4b5,48,used vehicle,11590000,2,car or other,0,0,bank,2,critical/pending loans at other banks,1
334,1749671,23,male,single,2,rent,4,skilled employee / official,7 years,4 years,1,Low,d68e4ae6-edad-11ea-9384-080fb801b725,24,FF&E,4110000,3,car or other,0,0,bank,2,no loans taken/all loans paid back duly,1
335,1497135,44,male,divorced,1,rent,4,management / self-employed / highly qualified employee / officer,1 year,4 years,1,Low,d68e4b72-edad-11ea-9e56-3ed3a833bbbb,6,FF&E,3384000,1,real estate,0,0,bank,1,critical/pending loans at other banks,1
336,1742101,23,female,divorced,1,own,4,unskilled - resident,0 year,1 year,1,Low,d68e4bf4-edad-11ea-a6db-2a7c75671381,13,electronic equipment,2101000,2,building society savings agreement/life insurance,0,1,bank,1,existing loans paid back duly till now,0
337,1674059,24,female,divorced,1,rent,2,skilled employee / official,1 year,4 years,1,Low,d68e4c80-edad-11ea-bfe9-2b5967cbdb78,15,domestic appliances,1275000,4,car or other,0,0,bank,1,existing loans paid back duly till now,1
338,1507864,28,male,single,1,own,4,skilled employee / official,1 year,4 years,1,Low,d68e4d0c-edad-11ea-ae79-3a47e5e3c803,24,FF&E,4169000,4,building society savings agreement/life insurance,0,0,bank,1,existing loans paid back duly till now,0
339,1191977,31,male,divorced,1,own,2,unskilled - resident,1 year,4 years,1,Low,d68e4d98-edad-11ea-acca-3ea777d761b0,10,FF&E,1521000,4,car or other,0,0,bank,1,existing loans paid back duly till now,0
340,1572898,24,female,divorced,1,own,4,skilled employee / official,0 year,1 year,1,Low,d68e4e24-edad-11ea-9c36-4de81fb02fb0,24,education,5743000,2,car or other,0,0,bank,2,critical/pending loans at other banks,0
341,1193436,26,female,divorced,1,rent,4,unskilled - resident,4 years,7 years,1,Low,d68e4ea6-edad-11ea-9dd8-15c117e65378,21,FF&E,3599000,1,car or other,0,0,bank,1,existing loans paid back duly till now,0
342,1182073,25,male,divorced,1,rent,3,skilled employee / official,0 year,1 year,1,High,d68e4f32-edad-11ea-ba23-0e11022a69b4,18,electronic equipment,3213000,1,real estate,0,0,bank,1,existing loans paid back duly till now,0
343,1424965,33,male,single,1,own,1,management / self-employed / highly qualified employee / officer,7 years,4 years,1,Low,d68e4fbe-edad-11ea-888b-25176f5d06e9,18,business,4439000,1,real estate,1,0,bank,1,existing loans paid back duly till now,0
344,1608183,37,male,single,2,own,1,unskilled - resident,0 year,1 year,1,Low,d68e5040-edad-11ea-9dd6-0bf0725af5d7,10,new vehicle,3949000,1,building society savings agreement/life insurance,0,1,bank,1,existing loans paid back duly till now,0
345,1473941,43,female,divorced,1,own,2,unskilled - resident,1 year,4 years,1,Low,d68e50cc-edad-11ea-aa70-46a356349be4,15,electronic equipment,1459000,4,car or other,0,0,bank,1,critical/pending loans at other banks,0
346,1540515,23,male,single,1,own,4,skilled employee / official,0 year,1 year,1,Low,d68e514e-edad-11ea-aad7-0fe52090f62b,13,electronic equipment,882000,4,real estate,0,1,bank,2,critical/pending loans at other banks,0
347,1318823,23,female,divorced,1,rent,4,unemployed / unskilled - non-resident,1 year,0 year,1,High,d68e51da-edad-11ea-85e6-3b82b84a5ca2,24,electronic equipment,3758000,1,car or other,0,0,bank,1,existing loans paid back duly till now,0
348,1545574,34,male,single,1,own,2,unskilled - resident,1 year,4 years,1,Medium,d68e525c-edad-11ea-824a-19a7683f9dc4,6,business,1743000,1,real estate,0,0,bank,2,delay in paying off loans in the past,0
349,1408229,32,male,single,2,own,3,skilled employee / official,7 years,4 years,1,High,d68e52e8-edad-11ea-8991-0faa0f77f9ff,9,education,1136000,4,car or other,0,0,bank,2,critical/pending loans at other banks,1
350,1605868,23,female,divorced,1,rent,4,skilled employee / official,0 year,1 year,1,Low,d68e5374-edad-11ea-9545-3b35f4be98a7,9,domestic appliances,1236000,1,real estate,0,0,bank,1,existing loans paid back duly till now,0
